OBJECTID
111730
122032
73162
127045
88906
31773
103749
12737
16011
25430
8604
82502
136542
38461
50711
107626
19580
125495
30528
25500
78957
75197
8095
5181
120848
161685
50478
52095
31009
43464
123585
103572
37888
142218
132928
20863
78363
108165
26796
82020
15410
48926
97614
114030
82284
99471
138684
99393
85069
117803
8953
26076
114939
68788
100922
6265
7441
51548
27598
106627
62472
84884
94481
9190
26783
32286
118984
97059
106492
168467
94887
47183
115700
1544
32024
119007
37830
132642
58492
125364
3058
1551
68947
182089
51072
121847
55344
160104
26433
56788
87562
104942
8450
119048
72948
95654
8971
44712
123771
132942
74516
61765
103273
61909
92192
16002
109170
82227
107099
22689
69340
139949
42903
107926
71083
102641
18064
42417
34867
123166
53533
550
10345
1376
54410
123462
111160
70598
68430
102769
107582
57263
127397
94454
31711
86406
101919
124276
29533
75661
121713
22080
31223
134757
6430
78471
21457
6460
23589
78191
8484
93432
36916
8241
88068
21872
81653
56644
10212
52016
12726
65943
109233
9202
12386
34952
55603
34769
69529
3308
106833
128405
58538
36154
55969
10156
65181
70493
72031
27085
11476
16250
23264
112631
120527
89098
64512
33311
125390
56225
76089
119233
83186
128
66108
6355
99953
106190
105697
131248
127591
123647
